queryOption,approximateQuery,inputTopicName,radius,k,wInterval,wStep,uniformGridSize,executionCost1, executionCost2, executionCost3,avg_time_sec, numberRecords1, numberRecords2, numberRecords3, avg_records, throughput
51,true,TaxiDrive17MillionGeoJSON,0.005,25,100,50,200,121114, 121113, 121044,121.09033333333333, 43018216, 43154152, 43410155,43194174.333333336, 356710.3429670962
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121063, 121104, 121023,121.06333333333333, 42769952, 42763041, 43227194,42920062.333333336, 354525.69454004796
51,true,TaxiDrive17MillionGeoJSON,0.005,75,100,50,200,121078, 121040, 121045,121.05433333333333, 43711884, 43024379, 43238892,43325051.666666664, 357897.56941098074
51,true,TaxiDrive17MillionGeoJSON,0.005,100,100,50,200,121099, 121060, 121066,121.075, 43597650, 43012019, 43142487,43250718.666666664, 357222.5369949755
51,true,TaxiDrive17MillionGeoJSON,0.005,125,100,50,200,121106, 121008, 121109,121.07433333333333, 43887197, 42667864, 43392462,43315841.0, 357762.3746293599
51,true,TaxiDrive17MillionGeoJSON,0.0005,50,100,50,200,121100, 121113, 121109,121.10733333333333, 43268546, 43284458, 43443531,43332178.333333336, 357799.78916773555
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121068, 121016, 121110,121.06466666666667, 42981177, 43332482, 42942069,43085242.666666664, 355886.18754715106
51,true,TaxiDrive17MillionGeoJSON,0.05,50,100,50,200,121009, 121014, 121102,121.04166666666667, 42682829, 42823986, 42647625,42718146.666666664, 352921.00516351114
51,true,TaxiDrive17MillionGeoJSON,0.5,50,100,50,200,121088, 121070, 121078,121.07866666666668, 23701418, 25794949, 25250402,24915589.666666668, 205780.17872677816
51,true,TaxiDrive17MillionGeoJSON,0.005,50,50,50,200,121100, 121031, 121098,121.07633333333332, 43132984, 44029497, 44253019,43805166.666666664, 361797.92913010804
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121062, 121107, 121041,121.07, 43788307, 43515292, 44077173,43793590.666666664, 361721.24115525454
51,true,TaxiDrive17MillionGeoJSON,0.005,50,150,50,200,121112, 121098, 121010,121.07333333333332, 43860884, 43558539, 43552001,43657141.333333336, 360584.2850063323
51,true,TaxiDrive17MillionGeoJSON,0.005,50,200,50,200,121060, 121111, 121108,121.093, 44063559, 43290576, 42240163,43198099.333333336, 356734.9007236862
51,true,TaxiDrive17MillionGeoJSON,0.005,50,250,50,200,121009, 121109, 121039,121.05233333333332, 43871601, 43753698, 43525012,43716770.333333336, 361139.42730003834
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,25,200,121098, 121039, 121096,121.07766666666667, 44099235, 43615818, 43775615,43830222.666666664, 362000.8864833316
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121106, 121008, 121064,121.05933333333333, 43478055, 43197944, 44348356,43674785.0, 360771.7290144227
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,75,200,121111, 121085, 121054,121.08333333333333, 43897962, 44254716, 43613902,43922193.333333336, 362743.5099793531
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,100,200,121112, 121096, 121075,121.09433333333332, 43222695, 44279733, 43472895,43658441.0, 360532.4856929722
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,125,200,121107, 121100, 121026,121.07766666666667, 44074688, 44548934, 43018175,43880599.0, 362416.9527548433
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,100,121072, 121104, 121089,121.08833333333332, 44509286, 44281318, 44146085,44312229.666666664, 365949.62080024224
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121104, 121047, 121111,121.08733333333333, 44280196, 42364393, 43750909,43465166.0, 358957.16590229643
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,300,121102, 121116, 121103,121.107, 44026713, 43956771, 43600726,43861403.333333336, 362170.6700135693
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,400,120066, -1, 116799,78.95466666666667, 37681715, 0, 0,12560571.666666666, 159085.867839773
51,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,500,121108, 121025, 121062,121.065, 43541717, 42766267, 42580553,42962845.666666664, 354874.2053167031
56,true,TaxiDrive17MillionGeoJSON,0.005,25,100,50,200,121018, 121084, 121033,121.045, 42534258, 43655472, 44019409,43403046.333333336, 358569.5099618599
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121056, 121105, 121105,121.08866666666667, 43488023, 43948636, 43795950,43744203.0, 361257.6156315207
56,true,TaxiDrive17MillionGeoJSON,0.005,75,100,50,200,121018, 120995, 121097,121.03666666666668, 43942423, 43493509, 43615420,43683784.0, 360913.64049461595
56,true,TaxiDrive17MillionGeoJSON,0.005,100,100,50,200,121080, 121022, 121060,121.054, 43613718, 43517422, 43403546,43511562.0, 359439.27503428224
56,true,TaxiDrive17MillionGeoJSON,0.005,125,100,50,200,121013, 121100, 121055,121.056, 44043036, 43661799, 43797213,43834016.0, 362097.0129526831
56,true,TaxiDrive17MillionGeoJSON,0.0005,50,100,50,200,121075, 121111, 121099,121.095, 43726406, 43695386, 43603739,43675177.0, 360668.70638754696
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121030, 121099, 121012,121.047, 43520794, 43860490, 43367953,43583079.0, 360050.8810627277
56,true,TaxiDrive17MillionGeoJSON,0.05,50,100,50,200,121032, 121056, 121037,121.04166666666667, 42904408, 43437302, 43739231,43360313.666666664, 358226.34354561096
56,true,TaxiDrive17MillionGeoJSON,0.5,50,100,50,200,121021, 121105, 123098,121.74133333333333, 26489325, 26239008, 28200988,26976440.333333332, 221588.17876152718
56,true,TaxiDrive17MillionGeoJSON,0.005,50,50,50,200,121044, 121043, 121026,121.03766666666667, 42798713, 43454553, 43593983,43282416.333333336, 357594.6027820541
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121051, 121031, 121080,121.054, 43907897, 43198924, 43280059,43462293.333333336, 359032.2776061372
56,true,TaxiDrive17MillionGeoJSON,0.005,50,150,50,200,121107, 121046, 121074,121.07566666666668, 42829274, 43588173, 43603121,43340189.333333336, 357959.534946466
56,true,TaxiDrive17MillionGeoJSON,0.005,50,200,50,200,121091, 121019, 121061,121.057, 43764823, 43440671, 43315846,43507113.333333336, 359393.61898389464
56,true,TaxiDrive17MillionGeoJSON,0.005,50,250,50,200,121075, 121022, 121096,121.06433333333332, 41529983, 42121334, 43932958,42528091.666666664, 351285.0605600879
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,25,200,121071, 121109, 121103,121.09433333333332, 43675105, 44126908, 43895603,43899205.333333336, 362520.72351307387
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121102, 121057, 121084,121.081, 43713149, 43817071, 44538955,44023058.333333336, 363583.53774195234
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,75,200,121097, 121100, 121076,121.091, 43754721, 43629861, 43836741,43740441.0, 361219.58692223206
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,100,200,121028, 121098, 121074,121.06666666666668, 43985295, 43837787, 43530651,43784577.666666664, 361656.7538546255
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,125,200,121090, 121021, 121072,121.061, 43998653, 43362334, 43900077,43753688.0, 361418.52454547706
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,100,121032, 121040, 121029,121.03366666666668, 43656068, 43679915, 44007792,43781258.333333336, 361727.935202602
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121073, 121044, 121085,121.06733333333332, 43915826, 43503508, 43179796,43533043.333333336, 359577.12237267423
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,300,121005, 121066, 121093,121.05466666666668, 43504866, 42958599, 43526356,43329940.333333336, 357936.9678712648
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,400,121074, 121069, 121046,121.063, 43741378, 43197456, 42878624,43272486.0, 357437.7472886018
56,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,500,121026, 121095, 121025,121.04866666666668, 42805123, 42549582, 40623332,41992679.0, 346907.40638751356
61,true,TaxiDrive17MillionGeoJSON,0.005,25,100,50,200,121038, 121105, 121033,121.05866666666667, 43252120, 43844946, 43532417,43543161.0, 359686.44128466636
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121102, 121092, 121088,121.094, 43980111, 43370580, 43507076,43619255.666666664, 360209.88378174533
61,true,TaxiDrive17MillionGeoJSON,0.005,75,100,50,200,121069, 121091, 121042,121.06733333333332, 43775898, 44008280, 44198895,43994357.666666664, 363387.5171392228
61,true,TaxiDrive17MillionGeoJSON,0.005,100,100,50,200,121018, 121095, 121079,121.064, 43518813, 43502704, 43482495,43501337.333333336, 359325.12830679095
61,true,TaxiDrive17MillionGeoJSON,0.005,125,100,50,200,121066, 121061, 121080,121.069, 44103284, 43871027, 43618183,43864164.666666664, 362307.1526705157
61,true,TaxiDrive17MillionGeoJSON,0.0005,50,100,50,200,121022, 121077, 121044,121.04766666666667, 44071413, 43945168, 43934281,43983620.666666664, 363357.85627149633
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121018, 121079, 121010,121.03566666666667, 43309672, 43666153, 43767615,43581146.666666664, 360068.62990798854
61,true,TaxiDrive17MillionGeoJSON,0.05,50,100,50,200,121107, 121073, 121034,121.07133333333333, 43967271, 43324023, 43649001,43646765.0, 360504.53727003915
61,true,TaxiDrive17MillionGeoJSON,0.5,50,100,50,200,121096, 121069, 121097,121.08733333333333, 28566920, 24892348, 24475873,25978380.333333332, 214542.50926328654
61,true,TaxiDrive17MillionGeoJSON,0.005,50,50,50,200,121029, 121060, 121041,121.04333333333332, 43625910, 43585829, 43360604,43524114.333333336, 359574.65095144993
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121040, 121005, 121095,121.04666666666667, 43233387, 44167236, 43733907,43711510.0, 361112.87657652696
61,true,TaxiDrive17MillionGeoJSON,0.005,50,150,50,200,121103, 121097, 121031,121.077, 43716976, 43074183, 43402133,43397764.0, 358431.1140844256
61,true,TaxiDrive17MillionGeoJSON,0.005,50,200,50,200,121038, 121108, 121047,121.06433333333332, 43701254, 43600143, 43856977,43719458.0, 361125.8311696536
61,true,TaxiDrive17MillionGeoJSON,0.005,50,250,50,200,121049, 121036, 121010,121.03166666666667, 43751684, 42851413, 43312692,43305263.0, 357801.09613186633
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,25,200,121048, 121013, 121039,121.03333333333333, 43279398, 43430999, 42938521,43216306.0, 357061.1897548885
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121104, 121072, 121068,121.08133333333333, 44161646, 43886614, 42936632,43661630.666666664, 360597.53774322494
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,75,200,121040, 121060, 121088,121.06266666666667, 43081227, 43487225, 43535643,43368031.666666664, 358227.9563201427
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,100,200,121088, 121087, 121037,121.07066666666667, 43883692, 42742448, 43707404,43444514.666666664, 358836.00762089354
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,125,200,121038, 121081, 121087,121.06866666666667, 43083188, 42917321, 43255531,43085346.666666664, 355875.2884038259
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,100,121063, 121040, 121048,121.05033333333333, 43355636, 43545486, 43529469,43476863.666666664, 359163.51875666046
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121024, 121006, 120995,121.00833333333333, 42957670, 43240862, 43618878,43272470.0, 357599.0909716962
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,300,121049, 121061, 121063,121.05766666666668, 43017985, 42878526, 43303974,43066828.333333336, 355754.65411800984
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,400,121029, 121044, 121075,121.04933333333332, 42817178, 42681308, 42878208,42792231.333333336, 353510.673334288
61,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,500,121064, 121034, 121015,121.03766666666667, 42372235, 42517215, 40085649,41658366.333333336, 344176.8788228458
52,true,TaxiDrive17MillionGeoJSON,0.005,25,100,50,200,121075, 121089, 121045,121.06966666666668, 43460602, 43593766, 43877884,43644084.0, 360487.3557648626
52,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121019, 121020, 121099,121.046, 42931397, 43234704, 42677266,42947789.0, 354805.52021545527
52,true,TaxiDrive17MillionGeoJSON,0.005,75,100,50,200,121057, 121093, 121015,121.055, 43083048, 43375596, 43628585,43362409.666666664, 358204.20194677345
52,true,TaxiDrive17MillionGeoJSON,0.005,100,100,50,200,121049, 121106, 121085,121.08, 43669636, 43033259, 43001040,43234645.0, 357075.03303600923
52,true,TaxiDrive17MillionGeoJSON,0.005,125,100,50,200,121078, 121066, 121066,121.07, 43067893, 43272556, 43428789,43256412.666666664, 357284.3203656287
52,true,TaxiDrive17MillionGeoJSON,0.0005,50,100,50,200,121021, 121060, 121045,121.042, 43027876, 43087274, 42788839,42967996.333333336, 354984.1900607503
52,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121017, 121012, 121101,121.04333333333332, 42995659, 42482230, 42848838,42775575.666666664, 353390.59565444884
52,true,TaxiDrive17MillionGeoJSON,0.05,50,100,50,200,121024, 121059, 121102,121.06166666666667, 43421797, 42882116, 42485715,42929876.0, 354611.63869653206
52,true,TaxiDrive17MillionGeoJSON,0.5,50,100,50,200,121042, 121038, 121108,121.06266666666667, 33719804, 33460918, 33759916,33646879.333333336, 277929.4415013712
52,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,100,121094, 121075, 121102,121.09033333333333, 42792526, 42714587, 43251982,42919698.333333336, 354443.63849577866
52,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121009, 121060, 121104,121.05766666666668, 43223309, 43389322, 42693053,43101894.666666664, 356044.3204753657
52,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,300,121065, 121107, 121090,121.08733333333333, 41190481, 43598299, 43103869,42630883.0, 352067.23797149165
52,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,400,121099, 121065, 121044,121.06933333333333, 42889359, 42872056, 42774218,42845211.0, 353889.87302041805
52,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,500,121097, 121012, 121027,121.04533333333333, 41842387, 41299136, 42638614,41926712.333333336, 346371.98460081074
57,true,TaxiDrive17MillionGeoJSON,0.005,25,100,50,200,121093, 121015, 121091,121.06633333333333, 43657495, 43534175, 42881563,43357744.333333336, 358132.13417437824
57,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121063, 121106, 121011,121.06, 42822926, 43146847, 43223914,43064562.333333336, 355729.0792444518
57,true,TaxiDrive17MillionGeoJSON,0.005,75,100,50,200,121014, 121106, 121071,121.06366666666668, 43395954, 43122679, 43474857,43331163.333333336, 357920.4605841004
57,true,TaxiDrive17MillionGeoJSON,0.005,100,100,50,200,121103, 121100, 121087,121.09666666666668, 43125372, 43441414, 42824309,43130365.0, 356164.7581821685
57,true,TaxiDrive17MillionGeoJSON,0.005,125,100,50,200,121041, 121042, 121120,121.06766666666667, 43203856, 42717085, 43726310,43215750.333333336, 356955.3417785646
57,true,TaxiDrive17MillionGeoJSON,0.0005,50,100,50,200,121106, 121107, 121057,121.09, 43566017, 43212659, 43120714,43299796.666666664, 357583.5879648746
57,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121012, 121037, 121026,121.025, 43102684, 43352933, 43359915,43271844.0, 357544.67258830817
57,true,TaxiDrive17MillionGeoJSON,0.05,50,100,50,200,121109, 120996, 121013,121.03933333333333, 43425441, 43069838, 42966971,43154083.333333336, 356529.4201884787
57,true,TaxiDrive17MillionGeoJSON,0.5,50,100,50,200,121112, 121100, 121106,121.106, 33612436, 33862135, 33704106,33726225.666666664, 278485.1755211688
57,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,100,121039, 121050, 121048,121.04566666666668, 42643241, 42648663, 42845072,42712325.333333336, 352861.250712541
57,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,200,121033, 121047, 121103,121.061, 41886561, 43080088, 43404601,42790416.666666664, 353461.6157694605
57,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,300,121088, 121103, 121037,121.076, 43511968, 43144562, 43154899,43270476.333333336, 357382.7706013854
57,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,400,121105, 121035, 121008,121.04933333333332, 42937043, 42946171, 43005575,42962929.666666664, 354920.82842257153
57,true,TaxiDrive17MillionGeoJSON,0.005,50,100,50,500,121098, 121083, 121009,121.06333333333333, 42930775, 42280478, 42582227,42597826.666666664, 351863.9830391806
